,x0(t),x1(t),x2(t),x3(t),x4(t),x5(t),x6(t),x7(t),x8(t),x9(t),x10(t),x11(t),x12(t),x13(t),x14(t),x15(t),x16(t),x17(t),x18(t),x19(t),x20(t),x21(t),x22(t),x23(t),x24(t),x25(t)
45,0.011819277,0.02604351,0.027962562,0.039132107,0.022519425,0.04196494,-0.06057309,0.16933459,0.014694179,-0.012665915,0.17859699,0.053914167,0.04624633,-0.07350607,0.10090459,-0.045749053,-0.012331985,-0.12935226,-0.016525704,0.08219183,-0.025423534,0.10726399,-0.066006854,0.08742626,0.010719676,0.011527677
46,-0.0027247276,0.038188837,-0.005097497,0.022751603,0.02550643,-0.0050758407,0.010514108,0.14450136,0.05066774,-0.013442192,0.26732707,0.070323944,0.08422594,0.00082081556,0.028685223,-0.06003732,0.03521905,0.02576885,-0.03161741,0.06979381,-0.04995092,0.076211356,-0.03159311,0.051914766,0.041500602,0.01612134
47,0.014350755,-0.03873057,-0.033333972,-0.0247367,0.051702727,0.053560875,0.047881175,0.05265309,0.02646431,0.0063883644,0.14918476,0.038171686,0.00344909,-0.0015912484,-0.10956567,0.024470322,0.09835991,-0.01737674,0.042494997,0.020699404,-0.0037725307,0.032130677,0.03449125,0.016593024,0.028996896,0.0013897491
48,0.022574594,0.12230588,0.117463924,-0.0919661,0.021872818,0.123499006,0.07305795,0.02879125,0.011178317,0.107680775,0.00049767696,0.012302809,0.05472284,-0.054498304,0.039012782,0.004711754,-0.00064562494,-0.058201734,0.014072168,-0.043675307,0.0049201883,0.016178139,0.06974404,0.058442317,0.009491097,0.05331248
49,0.067592114,-0.023357283,0.00040372484,0.0975509,0.1434804,0.098981015,-0.00010086459,0.06451299,0.21369337,-0.058710963,0.05483199,0.073556796,0.013708277,-0.053779308,0.12929912,-0.16548038,-0.1164543,-0.03497786,-0.016926285,-0.033289287,-0.0044761687,-0.010766426,-0.022940751,-0.008910029,-0.013392046,0.031760484
50,0.039131843,-0.020766066,-0.13462703,-0.13572834,-0.011187076,-0.068003565,-0.031275604,0.10861021,-0.060291145,0.04196353,0.2164723,0.09498584,0.007821135,0.034242544,0.104750864,-0.18800353,-0.042304292,0.043403618,0.049420256,-0.014436955,-0.034916874,-0.010685675,0.039531168,-0.0016074968,-0.009644309,-0.013995424
51,-0.026215341,-0.083486795,-0.12592414,-0.08676092,-0.009735294,0.048099972,-0.08864139,0.06076904,-0.09673933,0.07611961,-0.06508034,0.07045887,-0.024139471,0.07167616,-0.18712527,0.250083,0.16941504,-0.004429486,-0.040684987,-0.14537238,-0.054591775,0.0015401389,0.09848061,0.01564965,0.1270696,-0.0060468903
52,-0.0016698539,0.13094682,0.17213455,-0.0049384832,-0.03948826,0.21297221,-0.18065396,0.14346814,0.059944775,0.078916654,-0.11080612,0.015955886,-0.036560684,-0.047134824,0.0031334013,0.041523922,0.076691374,-0.11615941,0.07058799,0.047346704,0.04959061,0.11761131,-0.060130823,0.07331896,0.14121917,0.14223573
53,-0.097409815,-0.017496841,0.0010599121,0.06781798,0.119750924,0.08414514,-0.117528416,0.14257605,0.17764135,-0.03501511,0.1478534,0.04314677,0.0841321,-0.09154896,0.3404286,-0.225868,-0.0938237,-0.053188894,-0.014833162,0.036960755,-0.069397435,0.11188835,-0.06503963,0.05060959,0.093458295,-0.09730112
54,-0.03587911,-0.052184477,-0.05670961,-0.08738411,0.0055441745,-0.13195346,-0.08232393,0.11876402,-0.19743946,0.014084204,0.2774123,0.105434276,-0.008724438,-0.019396156,0.038145237,-0.101567134,0.09134813,-0.06494186,0.00907884,0.026593179,-0.08580519,0.16375294,0.012729939,0.11064111,-0.0009105527,0.016130442
55,0.029125836,-0.014002632,-0.055647578,-0.082763135,-0.020616934,0.053738594,-0.093501404,0.18737341,-0.027086442,0.02837431,-0.08741293,0.054728463,0.026583035,-0.083465606,-0.20798293,0.23615654,0.22192363,0.058888607,0.031479303,0.0019661973,-0.031173296,0.117530614,-0.004004536,0.067828044,0.07940945,0.01206039
